city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
panjab,af,34,34,38,79,68,1
pishin,pk,30,30,52,40,0,2
terrasini,it,38,38,68,52,40,16
dumbraveni,ro,46,46,49,66,40,2
waterfoot,gb,53,53,56,77,75,8
jardim,br,-21,-21,84,70,32,6
arkadelphia,us,34,34,66,73,40,3
ugoofaaru,mv,5,5,83,100,80,13
waynesboro,us,35,35,64,93,90,6
palora,ec,-1,-1,68,100,36,2
kankakee,us,41,41,66,41,1,12
manaus,br,-3,-3,91,59,40,5
sajanan,tn,37,37,66,68,20,3
natalio,py,-26,-26,76,77,36,4
phetchaburi,th,13,13,84,100,56,7
tonantins,br,-2,-2,89,62,24,2
posse,br,-14,-14,94,22,0,5
abnub,eg,27,27,84,45,0,13
kysyl-syr,ru,63,63,38,92,12,7
eufaula,us,31,31,74,93,90,5
uaua,br,-9,-9,92,28,0,12
likasi,cd,-10,-10,78,39,0,8
namanyere,tz,-7,-7,69,35,0,6
tabas,ir,33,33,60,36,0,3
magdagachi,ru,53,53,43,83,0,3
mazamari,pe,-11,-11,79,66,36,1
hobart,au,-42,-42,53,50,75,10
gamboma,cg,-1,-1,78,77,68,1
aparecida do taboado,br,-20,-20,89,59,36,4
miguelopolis,br,-20,-20,88,50,76,4
gigmoto,ph,13,13,81,100,32,9
hun,ly,50,50,59,55,0,5
kermanshah,ir,34,34,71,11,0,6
qeshm,ir,26,26,86,74,0,6
yelizovo,ru,53,53,33,81,0,6
dapdap,ph,14,14,79,100,12,10
zhangye,cn,38,38,35,73,0,5
buala,sb,-8,-8,79,99,100,14
luwuk,id,0,0,75,98,48,4
fethiye,tr,36,36,78,65,75,13
kisarawe,tz,-6,-6,77,78,20,6
morgan city,us,29,29,77,94,90,8
qingyuan,cn,27,27,64,79,0,1
constanza,do,18,18,91,49,20,11
keti bandar,pk,24,24,80,98,0,13
dhangadhi,np,28,28,72,93,0,2
palembang,id,-2,-2,76,79,8,4
ulagan,ru,50,50,21,74,0,3
shurugwi,zw,-19,-19,80,30,0,13
volksrust,za,-27,-27,77,20,88,7
shuangcheng,cn,45,45,50,71,0,4
bethalto,us,38,38,67,40,1,4
maltahohe,na,-24,-24,65,40,0,7
nuevitas,cu,21,21,91,49,40,13
linden,gy,6,6,91,59,40,6
camacari,br,-12,-12,82,69,20,13
gaurnadi,bd,22,22,78,91,0,3
krasnyy chikoy,ru,50,50,34,85,92,6
srandakan,id,-7,-7,66,100,76,2
nevsehir,tr,38,38,57,51,0,6
johi,pk,26,26,76,73,56,3
totness,sr,33,33,85,70,75,11
boulder,us,40,40,70,16,1,8
mathbaria,bd,22,22,81,91,0,4
mungaa,tz,-4,-4,72,46,12,15
la palma,pa,5,5,73,89,64,1
ust-maya,ru,60,60,34,82,8,5
faro,pt,37,37,77,73,20,9
darlowo,pl,54,54,64,91,80,25
coria,es,39,39,77,51,0,2
casambalangan,ph,18,18,82,100,92,25
santa teresa,ph,10,10,84,70,75,2
basco,ph,40,40,67,45,1,11
astaneh-ye ashrafiyeh,ir,37,37,69,94,90,4
villa constitucion,ar,-33,-33,68,77,90,11
huanren,cn,41,41,42,88,56,2
el tarra,co,8,8,78,69,48,1
hargeysa,so,9,9,67,49,0,5
olyka,ua,50,50,58,72,92,14
jinka,et,5,5,65,80,32,1
manoel urbano,br,-8,-8,99,39,12,2
tapiramuta,br,-11,-11,86,37,0,10
poum,nc,41,41,48,24,20,3
san gabriel,mx,34,34,79,80,75,12
siedlce,pl,52,52,59,78,64,12
bow island,ca,49,49,44,81,90,5
talalayivka,ua,50,50,56,85,80,12
moosomin,ca,50,50,43,74,8,14
la rosa,hn,-34,-34,55,95,92,7
anakapalle,in,17,17,80,95,0,4
sungaipenuh,id,-2,-2,64,94,36,0
xingcheng,cn,40,40,61,70,92,6
luang prabang,la,19,19,70,98,48,1
elizabeth city,us,36,36,78,80,90,5
kyaikto,mm,17,17,77,99,92,1
rosetta,eg,31,31,77,69,0,6
zilupe,lv,56,56,48,72,8,13
san policarpo,ph,12,12,82,89,32,13
tepalcatepec,mx,19,19,86,53,20,1
vicksburg,us,32,32,72,94,90,5
san juan de uraba,co,8,8,83,100,0,9
emba,kz,34,34,76,73,20,4
annau,tm,37,37,75,33,0,4
tucupita,ve,9,9,83,84,56,5
roma,au,41,41,69,59,0,6
qianan,cn,44,44,51,70,64,10
piacabucu,br,-10,-10,83,60,88,14
meleuz,ru,52,52,45,80,64,11
wasilla,us,61,61,46,89,90,3
kurilsk,ru,45,45,51,100,92,9
salvador,br,-12,-12,82,69,20,13
ales,fr,44,44,66,72,0,4
gerede,tr,40,40,43,93,0,2
rio cuarto,ar,-33,-33,60,100,90,17
soria,es,41,41,66,53,0,2
barinas,ve,8,8,91,65,48,4
priyutovo,ru,53,53,42,92,92,16
zatoka,ua,50,50,57,76,75,1
onega,ru,63,63,45,100,92,4
rio verde de mato grosso,br,-18,-18,94,37,32,11
paluan,ph,13,13,76,100,92,3
kholm,ru,57,57,47,64,12,17
lake havasu city,us,34,34,95,7,1,5
saint-malo,fr,48,48,64,68,0,5
balad,iq,-6,-6,76,100,0,13
temyasovo,ru,52,52,41,80,40,6
itamarandiba,br,-17,-17,88,30,0,5
sao joao da ponte,br,-15,-15,91,30,0,5
badulla,lk,6,6,67,96,8,2
ouadda,cf,8,8,77,78,12,4
uruguaiana,br,-29,-29,79,69,75,5
syamzha,ru,60,60,41,91,76,15
soldotna,us,60,60,46,92,90,5
balaguer,es,41,41,66,60,0,2
altagracia de orituco,ve,9,9,85,82,32,7
linjiang,cn,41,41,33,76,44,2
lekoni,ga,-1,-1,78,71,64,6
monze,zm,-16,-16,80,26,0,10
birjand,ir,32,32,64,23,0,11
lauria,it,40,40,59,40,0,6
barbastro,es,42,42,69,60,0,4
bandrele,yt,-12,-12,75,83,0,1
kajiado,ke,-1,-1,63,72,0,5
arroyo,us,41,41,58,66,40,6
hesla,in,24,24,76,83,36,2
kingman,us,35,35,92,2,1,3
san jose de buan,ph,12,12,82,83,92,13
alabaster,us,33,33,75,93,90,5
nardaran,az,40,40,64,72,90,12
gambela,et,8,8,66,88,8,2
derventa,ba,44,44,48,76,0,2
buchanan,lr,5,5,75,94,90,6
el tigre,ve,8,8,89,63,56,5
noblesville,us,40,40,61,62,1,4
mega,et,4,4,61,94,0,5
puerto el triunfo,sv,13,13,87,70,20,5
estrela,br,-29,-29,71,88,76,4
pimentel,pe,-3,-3,88,69,44,4
papetoai,pf,-17,-17,78,57,20,3
buffalo,us,42,42,62,55,75,4
agirish,ru,61,61,48,64,8,7
kalengwa,zm,-13,-13,75,34,8,6
yichang,cn,30,30,62,90,68,3
amalfi,co,6,6,75,90,56,2
ikalamavony,mg,-21,-21,57,86,12,2
inverness,ca,57,57,48,87,40,5
kamuli,ug,0,0,67,99,92,3
utinga,br,-5,-5,85,61,48,18
abay,kz,49,49,39,100,0,6
rio gallegos,ar,-51,-51,59,28,0,12
ippy,cf,6,6,70,100,24,5
challans,fr,46,46,64,72,0,5
distraccion,co,10,10,94,59,40,4
mabaruma,gy,8,8,88,73,8,5
songling,cn,31,31,69,68,0,2
whakatane,nz,-37,-37,50,100,64,4
komsomolskiy,ru,67,67,38,85,0,14
rock springs,us,41,41,62,8,1,17
gabu,gw,34,34,31,87,32,1
abha,sa,18,18,78,18,0,9
koungheul,sn,13,13,91,68,36,8
flores,br,16,16,78,100,56,3
ovalle,cl,-30,-30,63,91,32,3
sigulda,lv,57,57,53,76,90,9
khajuraho,in,24,24,74,72,0,2
pine bluff,us,34,34,63,83,90,9
calafat,ro,43,43,48,73,12,3
